ID,Nombre,Código,Nemotécnico,Número,Propietario,Tiene SCADA,Tiene Equipos Com,Tiene Pararrayos
301,S/E TOTORALILLO,SE021,SE021T0061,21,ALFA TRANSMISORA DE ENERGÍA S.A.,No,Sí,Sí
302,S/E CENTRAL COYA,SE003,SE003G0030,3,PACIFIC HYDRO CHILE S.A.,No,No,No
303,S/E INTERCONEXION CHACAYES,SE001,SE001G0101,1,PACIFIC HYDRO CHACAYES S.A.,No,No,No
305,S/E CENTRAL CHOLGUAN,SE001,SE001L0003,1,MADERAS ARAUCO S.A.,No,Sí,Sí
307,S/E CENTRAL PANGUE,SE023,SE023G0021,23,ENEL GENERACIÓN CHILE S.A.,Sí,Sí,Sí
308,S/E CENTRAL CURILLINQUE,SE059,SE059T0002,59,TRANSELEC S.A.,No,No,No
309,S/E LOMA ALTA,SE063,SE063T0002,63,TRANSELEC S.A.,No,No,No
310,S/E RIO MELADO,SE004,SE004G0017,4,EMPRESA ELÉCTRICA PEHUENCHE S.A.,No,No,No
312,S/E PETROPOWER,SE005,SE005L0034,5,ENAP REFINERÍAS S.A.,Sí,Sí,Sí
313,S/E CENTRAL LOS OLIVOS,SE002,SE002G0042,2,ESPINOS S.A.,No,No,Sí
314,S/E CENTRAL HORNITOS,SE001,SE001G0036,1,RÍO TRANQUILO S.A.,No,No,No
315,S/E CENTRAL CHUYACA,SE003,SE003G0018,3,SAGESA S.A.,Sí,Sí,Sí
316,S/E CENTRAL CORONEL,SE001,SE001G0018,1,SAGESA S.A.,Sí,Sí,Sí
317,S/E CENTRAL QUELLON II,SE002,SE002G0402,2,ENERGÍA SIETE SPA,Sí,Sí,Sí
318,S/E CENTRAL CALLE CALLE,SE005,SE005G0018,5,SAGESA S.A.,No,No,No
319,S/E CENTRAL FLORIDA 1 (SCM),SE002,SE002G0012,2,ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO,Sí,Sí,Sí
320,S/E CENTRAL MARIPOSAS,SE001,SE001G0071,1,HIDROELÉCTRICA RÍO LIRCAY S.A.,Sí,Sí,Sí
321,S/E CENTRAL LAUTARO,SE001,SE001G0067,1,COMASA SPA,Sí,Sí,Sí
322,S/E CENTRAL LICAN,SE001,SE001G0082,1,LICÁN SPA,Sí,No,Sí
323,S/E CENTRAL LOMA LOS COLORADOS,SE001,SE001G0059,1,KDM ENERGÍA S.A.,Sí,Sí,Sí
330,TAP OFF DUQUECO,SE220,SE220T0058,220,CGE TRANSMISIÓN S.A.,No,No,No
352,S/E GUAYACAN,SE001,SE001T0058,1,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
353,S/E EJERCITO,SE002,SE002T0058,2,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
354,S/E EL AVELLANO,SE003,SE003T0058,3,CGE TRANSMISIÓN S.A.,Sí,Sí,Sí
355,S/E EL ESPINO,SE004,SE004T0058,4,CGE TRANSMISIÓN S.A.,No,No,No
