ID,Nombre,Tipo,Propietario,Región,Comuna,Nemotécnico,Coordinado
457,PMGD PFV LA ESPERANZA II,Solares,GR ARAUCARIA SPA,OHiggins,Marchihue,CE01G0262,GR ARAUCARIA SPA
458,PMGD HP LOS PORTONES,Hidroeléctricas,LOS PORTONES S.A.,Los Ríos,Lago Ranco,CE01G0607,LOS PORTONES S.A.
459,PMGD PFV CUZ CUZ,Solares,PARQUE SOLAR CUZ CUZ SPA,Coquimbo,Illapel,CE01G0296,TRALKA SPA
461,PMGD TER LOS PINOS,Termoeléctricas,BIO ENERGÍA LOS PINOS SPA,Biobío,Penco,CE01G0294,BIO ENERGÍA LOS PINOS SPA
462,PMGD PFV MARCHIGUE II,Solares,GR CANELO SPA,OHiggins,Marchihue,CE01G0105,GR CANELO SPA
464,GEO CERRO PABELLON,Geotérmica,GEOTÉRMICA DEL NORTE S.A.,Antofagasta,Ollagüe,CE23G0232,GEOTÉRMICA DEL NORTE S.A.
468,PMGD HP CAVANCHA,Hidroeléctricas,ENERNUEVAS S.A.,Tarapacá,Iquique,CE04G0231,ENERNUEVAS S.A.
470,PMGD PFV LOS PUQUIOS,Solares,PARQUE SOLAR LOS PUQUIOS SPA,Tarapacá,Pozo Almonte,CE01G0237,PARQUE SOLAR LOS PUQUIOS SPA
471,PMGD HP ALTO HOSPICIO,Hidroeléctricas,ENERNUEVAS S.A.,Tarapacá,Alto Hospicio,CE02G0231,ENERNUEVAS S.A.
472,PMGD HP EL TORO Nº2,Hidroeléctricas,ENERNUEVAS S.A.,Tarapacá,Alto Hospicio,CE03G0231,ENERNUEVAS S.A.
473,PMGD HP SANTA ROSA,Hidroeléctricas,ENERNUEVAS S.A.,Tarapacá,Alto Hospicio,CE01G0231,ENERNUEVAS S.A.
474,PMGD PFV PAS1,Solares,POZO ALMONTE SOLAR 1 SPA,Tarapacá,Pozo Almonte,CE01G0241,POZO ALMONTE SOLAR 1 SPA
475,PMGD PFV PICA,Solares,ATACAMA SOLAR SPA,Tarapacá,Pica,CE02G0566,ATACAMA SOLAR SPA
476,TER ACONCAGUA,Termoeléctricas,ENAP REFINERIAS S.A. - ACONCAGUA,Valparaíso,Concón,CE01L0002,ENAP REFINERÍAS S.A.
477,HP ANCOA,Hidroeléctricas,HIDROELÉCTRICA EMBALSE ANCOA SPA,Maule,Colbún,CE01G0298,HIDROELÉCTRICA EMBALSE ANCOA SPA
478,PE CABO LEONES,Eólicas,PARQUE EÓLICO CABO LEONES I S.A.,Atacama,Freirina,CE01G0299,PARQUE EÓLICO CABO LEONES I S.A.
479,PMGD TER EL NOGAL,Termoeléctricas,GENERADORA ESTANCILLA SPA,Metropolitana,San Bernardo,CE02G0157,GENERADORA ESTANCILLA SPA
480,PMGD PFV CALAMA SOLAR,Solares,CALAMA SOLAR 1 SPA,Antofagasta,Calama,CE01G0300,CALAMA SOLAR 1 SPA
481,PMGD TER LEPANTO,Termoeléctricas,ENERKEY SPA,Metropolitana,San Bernardo,CE01G0301,ENERKEY SPA
482,PMGD HP CALIBORO,Hidroeléctricas,SOCER S.A.,Biobío,Quilleco,CE01G0302,SOCER S.A.
483,PMGD PFV LAS TURCAS,Solares,PV LAS TURCAS SPA,Metropolitana,Melipilla,CE01G0303,TRALKA SPA
484,PMGD HP LA BIFURCADA,Hidroeléctricas,HIDRO MUNILQUE SPA,Biobío,Mulchén,CE01G0768,HIDRO MUNILQUE SPA
485,PMGD HP LA VIÑA - ALTO LA VIÑA,Hidroeléctricas,HIDRO MUNILQUE SPA,Biobío,Mulchén,CE02G0768,HIDRO MUNILQUE SPA
486,PMGD HP MELO,Hidroeléctricas,SOCER S.A.,Biobío,Quilleco,CE02G0302,SOCER S.A.
487,PMGD HP SANTA ISABEL,Hidroeléctricas,SOCER S.A.,Biobío,Los Angeles,CE03G0302,SOCER S.A.
488,TER IEM,Termoeléctricas,ENGIE ENERGÍA CHILE S.A.,Antofagasta,Mejillones,CE10G0216,ENGIE ENERGÍA CHILE S.A.
489,PFV ANTAY,Solares,GENERADORA DEL PACÍFICO SPA,Atacama,Copiapó,CE02G0052,GENERADORA DEL PACÍFICO SPA
490,PFV CERRO DOMINADOR,Solares,CERRO DOMINADOR PV S.A.,Antofagasta,María Elena,CE02G0430,CERRO DOMINADOR CSP S.A.
491,PFV PUERTO SECO SOLAR,Solares,CALAMA SOLAR 2 SPA,Antofagasta,Calama,CE01G0305,CALAMA SOLAR 2 SPA
492,HP ALFALFAL II,Hidroeléctricas,ALTO MAIPO SPA,Metropolitana,San José de Maipo,CE08G0466,ALTO MAIPO SPA
493,HP LAS LAJAS,Hidroeléctricas,ALTO MAIPO SPA,Metropolitana,San José de Maipo,CE11G0466,ALTO MAIPO SPA
494,PMGD TER EL CANELO II,Termoeléctricas,CENTRAL ELÉCTRICA EL CANELO SPA,Los Lagos,Puerto Montt,CE05G0210,IMELSA ENERGÍA SPA
495,PMGD PFV SAN FRANCISCO,Solares,SAN FRANCISCO SOLAR SPA,Metropolitana,Colina,CE01G0334,SAN FRANCISCO SOLAR SPA
496,PMGD PFV QUINTA SOLAR,Solares,QUINTA SOLAR SPA,Metropolitana,Colina,CE02G0757,QUINTA SOLAR SPA
498,PMGD PFV VALLE DE LA LUNA II,Solares,VALLE DE LA LUNA II SPA,Metropolitana,Lampa,CE04G0310,VALLE DE LA LUNA II SPA
499,HE CONVENTO VIEJO,Hidroeléctricas,SOCIEDAD CONCESIONARIA EMBALSE CONVENTO VIEJO S.A.,OHiggins,Chimbarongo,CE01G0311,SOCIEDAD CONCESIONARIA EMBALSE CONVENTO VIEJO S.A.
500,PMGD PFV FRANCISCO,Solares,GR BOLDO SPA,OHiggins,Mostazal,CE01G0318,IEH SOLAR CHILE SPA
501,PMGD PFV PANQUEHUE II,Solares,GR LINGUE SPA,Valparaíso,Panquehue,CE01G0319,IEH SOLAR CHILE SPA
502,PMGD TER CHILE,Termoeléctricas,PMGD CHILE GENERACIÓN LTDA.,Maule,Sagrada Familia,CE01G0320,PMGD CHILE GENERACIÓN LTDA.
503,PMGD PFV EL QUELTEHUE,Solares,PV EL QUELTEHUE SPA,Metropolitana,Melipilla,CE01G0321,TRALKA SPA
504,HP PALACIOS,Hidroeléctricas,HIDROELÉCTRICA PALACIOS SPA,OHiggins,San Fernando,CE01G0322,HIDROELÉCTRICA PALACIOS SPA
505,PMGD HP ARRAYAN,Hidroeléctricas,HIDROELÉCTRICA ARRAYÁN SPA,Metropolitana,Lo Barnechea,CE01G0323,PV SALVADOR S.A.
506,PMGD PFV SANTUARIO SOLAR,Solares,PMGD SANTUARIO SPA,Valparaíso,Rinconada,CE01G0324,TRALKA SPA
507,PMGD TER LIPIGAS CONCON,Termoeléctricas,EMPRESAS LIPIGAS S.A.,Valparaíso,Concón,CE01G0325,EMPRESAS LIPIGAS S.A.
508,PMGD PFV DON EUGENIO,Solares,GR TIACA SPA,OHiggins,Las Cabras,CE01G0326,IEH SOLAR CHILE SPA
509,PMGD HP LA MONTAÑA II,Hidroeléctricas,HIDROELÉCTRICA RÍO CLARO S.A.,Maule,Teno,CE01G0327,HIDROELÉCTRICA RÍO CLARO S.A.
510,TER DEGAÑ 2,Termoeléctricas,GENERACIÓN DE ENERGÍA NUEVA DEGAN SPA,Los Lagos,Ancud,CE02G0033,GENERACIÓN DE ENERGÍA NUEVA DEGAN SPA
511,PMGD PFV EL PILPEN,Solares,PV EL PILPEN SPA,Metropolitana,Maria Pinto,CE01G0522,TRALKA SPA
512,PE AURORA,Eólicas,AELA EÓLICA LLANQUIHUE SPA,Los Lagos,Llanquihue,CE01G0278,AELA GENERACIÓN S.A.
513,PMGD PFV LA MANGA,Solares,LA MANGA ENERGY SPA,Metropolitana,San Pedro,CE01G0329,LA MANGA ENERGY SPA
514,PMGD PFV LA FRONTERA,Solares,PV LA FRONTERA SPA,OHiggins,Lolol,CE01G0330,TRALKA SPA
515,PMGD PFV CHIMBARONGO,Solares,GR TINEO SPA,OHiggins,Chimbarongo,CE01G0331,IEH SOLAR CHILE SPA
516,PE SARCO,Eólicas,AELA EÓLICA SARCO SPA,Atacama,Freirina,CE01G0332,AELA GENERACIÓN S.A.
517,PFV HUATACONDO,Solares,AUSTRIANSOLAR CHILE CUATRO SPA,Tarapacá,Pozo Almonte,CE01G0333,AUSTRIANSOLAR CHILE CUATRO SPA
518,PMGD PFV EL CERNICALO II,Solares,PV EL CERNÍCALO SPA,Ñuble,Ninhue,CE01G0525,TRALKA SPA
519,PMGD PFV PORTEZUELO,Solares,PV PORTEZUELO SPA,OHiggins,La Estrella,CE01G0337,TRALKA SPA
520,HP EL PINAR,Hidroeléctricas,EMPRESA ELÉCTRICA EL PINAR SPA,Ñuble,Yungay,CE01G0807,EMPRESA ELÉCTRICA EL PINAR SPA
521,PMGD TER EL CAMPESINO,Termoeléctricas,AASA ENERGÍA S.A.,Metropolitana,Melipilla,CE01G0338,AASA ENERGÍA S.A.
522,PMGD PFV LOS GORRIONES,Solares,PV LOS GORRIONES SPA,Maule,Retiro,CE01G0385,TRALKA SPA
523,PMGD TER CONCHALI,Termoeléctricas,QUEMCHI GENERADORA DE ELECTRICIDAD S.A.,Coquimbo,Los Vilos,CE01G0340,QUEMCHI GENERADORA DE ELECTRICIDAD S.A.
524,PMGD PFV EL CERNICALO,Solares,PV EL CERNÍCALO SPA,Ñuble,Ninhue,CE02G0525,TRALKA SPA
526,PMGD PFV HOMERO SOLAR,Solares,GR ESPINO SPA,OHiggins,Mostazal,CE01G0343,IEH SOLAR CHILE SPA
527,PMGD PFV CABILSOL,Solares,GR GUAYACÁN SPA,Valparaíso,Cabildo,CE01G0345,IEH SOLAR CHILE SPA
528,PMGD PFV DIEGO DE ALMAGRO SOLAR,Solares,DIEGO DE ALMAGRO SOLAR SPA,Atacama,Diego de Almagro,CE01G0346,DIEGO DE ALMAGRO SOLAR SPA
529,PMGD PFV EL PITIO,Solares,PV EL PITIO SPA,Maule,Longaví,CE01G0521,TRALKA SPA
530,PMGD PFV PERALILLO,Solares,PARRONAL ENERGY SPA,Maule,Hualañé,CE01G0387,SONNEDIX METRO EXPANSION SPA
531,PE PUNTA SIERRA,Eólicas,PACIFIC HYDRO PUNTA SIERRA SPA,Coquimbo,Ovalle,CE04G0444,PACIFIC HYDRO CHILE S.A.
532,HP CUCHILDEO (SM),Hidroeléctricas,ENERGÍA DE LA PATAGONIA Y AYSÉN SPA,Los Lagos,Hualaihué,CE02G1072,ENERGÍA DE LA PATAGONIA Y AYSÉN SPA
533,TER HORNOPIREN (SM),Termoeléctricas,SAGESA S.A.,Los Lagos,Hualaihué,CE07G0018,SOCIEDAD GENERADORA AUSTRAL S.A.
534,PMGD PFV AMPARO DEL SOL,Solares,SONNEDIX PARQUE SOLAR AMPARO DEL SOL SPA,Coquimbo,Ovalle,CE01G0391,SONNEDIX CHILE INVERSIONES 3 SPA
535,TER TRES PUENTES (SM),Termoeléctricas,EMPRESA ELÉCTRICA DE MAGALLANES S.A.,Magallanes y de la Antártica Chilena,Punta Arenas,CE01T0041,EMPRESA ELÉCTRICA DE MAGALLANES S.A.
536,TER PUNTA ARENAS (SM),Termoeléctricas,EMPRESA ELÉCTRICA DE MAGALLANES S.A.,Magallanes y de la Antártica Chilena,Punta Arenas,CE02T0041,EMPRESA ELÉCTRICA DE MAGALLANES S.A.
537,PMGD PFV MOSTAZAL,Solares,GR LITRE SPA,OHiggins,Mostazal,CE03G0743,IEH SOLAR CHILE SPA
538,HP CUMBRES,Hidroeléctricas,CUMBRES SPA,Los Ríos,Río Bueno,CE01G0393,CUMBRES SPA
539,PMGD PFV CHANCON,Solares,PV CHANCON SPA,OHiggins,Rancagua,CE01G0394,TRALKA SPA
540,PMGD TER ERMITAÑO,Termoeléctricas,GENERADORA ERMITAÑO SPA,Valparaíso,San Antonio,CE01G0395,GENERADORA ERMITAÑO SPA
541,PMGD PFV LA ACACIA,Solares,LA ACACIA SPA,OHiggins,San Vicente de Tagua Tagua,CE01G0396,LA ACACIA SPA
542,PMGD HP SANTA ELENA,Hidroeléctricas,CENTRAL HIDROELÉCTRICA SANTA ELENA S.A.,Araucanía,Cunco,CE01G0397,CENTRAL HIDROELÉCTRICA SANTA ELENA S.A.
543,PMGD PFV LUDERS,Solares,GR LAUREL SPA,OHiggins,Mostazal,CE02G0257,IEH SOLAR CHILE SPA
544,PE SAN GABRIEL,Eólicas,PARQUE EÓLICO SAN GABRIEL SPA,Araucanía,Renaico,CE01G0399,ACCIONA ENERGÍA CHILE HOLDINGS S.A.
545,PMGD PFV OVEJERIA,Solares,COLBÚN S.A.,Metropolitana,Tiltil,CE23G0004,COLBÚN S.A.
546,PMGD PFV LOS PATOS,Solares,PV LOS PATOS SPA,Maule,San Rafael,CE01G0400,TRALKA SPA
547,PMGD TER CORTES,Termoeléctricas,MOCHO ENERGY SPA,Valparaíso,Panquehue,CE01G0401,TACORA ENERGY SPA
548,PMGD TER AGNI,Termoeléctricas,TACORA ENERGY SPA,Metropolitana,Quilicura,CE01G0398,TACORA ENERGY SPA
549,PE CABO NEGRO (SM),Eólicas,PECKET ENERGY S.A.,Magallanes y de la Antártica Chilena,Punta Arenas,CE01G0389,PECKET ENERGY S.A.
550,PMGD PFV OCOA,Solares,PARQUE FOTOVOLTAICO OCOA SPA,Valparaíso,Hijuelas,CE01G0403,PARQUE FOTOVOLTAICO OCOA SPA
551,HP PANGAL,Hidroeléctricas,PACIFIC HYDRO CHILE S.A.,OHiggins,Machalí,CE01G0030,PACIFIC HYDRO CHILE S.A.
552,PMGD TER SEPULTURA,Termoeléctricas,ENERGÍA GENERACIÓN SPA,Valparaíso,San Antonio,CE01G0404,ENERGÍA GENERACIÓN SPA
553,PMGD HP MSA-I,Hidroeléctricas,MINICENTRALES ARAUCANÍA S.A.,Araucanía,Villarrica,CE01G0405,MINICENTRALES ARAUCANÍA S.A.
554,PMGD PFV TALHUEN,Solares,REDEN TALHUEN SOLAR SPA,Coquimbo,Ovalle,CE01G0453,REDEN TALHUEN SOLAR SPA
555,PMGD PFV LOS LIBERTADORES,Solares,PV LIBERTADORES SPA,OHiggins,Graneros,CE01G0519,TRALKA SPA
556,PMGD PFV SANTA LAURA,Solares,PARQUE SOLAR SANTA LAURA SPA,Valparaíso,Cabildo,CE01G0408,PARQUE SOLAR SANTA LAURA SPA
557,TER TENO GAS,Termoeléctricas,INNOVACIÓN ENERGÍA S.A.,Maule,Teno,CE01G0409,INNOVACIÓN ENERGÍA S.A.
558,PMGD PFV CATAN SOLAR,Solares,PLANETA INVESTMENTS SPA,Valparaíso,San Esteban,CE01G0410,PLANETA INVESTMENTS SPA
559,PMGD PFV VILLA PRAT,Solares,VILLA PRAT ENERGY SPA,Maule,Sagrada Familia,CE01G0411,SONNEDIX METRO EXPANSION SPA
560,PMGD PFV LAS PALOMAS,Solares,PV LAS PALOMAS SPA,Ñuble,Bulnes,CE01G0412,TRALKA SPA
561,PMGD TER RAMADILLA,Termoeléctricas,GENERADORA LA CALERA SPA,Coquimbo,Los Vilos,CE01G0413,GENERADORA LA CALERA SPA
562,PMGD PFV EL PICURIO,Solares,PV EL PICURIO SPA,OHiggins,Chimbarongo,CE01G0414,TRALKA SPA
563,PMGD HP EL BRINCO,Hidroeléctricas,HIDRO MUNILQUE SPA,Biobío,Mulchén,CE03G0768,HIDRO MUNILQUE SPA
564,PMGD PFV EL CHINCOL,Solares,PV EL CHINCOL SPA,Ñuble,Ñiquén,CE01G0524,TRALKA SPA
566,TER PAJONALES,Termoeléctricas,PRIME ENERGÍA QUICKSTART SPA,Atacama,Vallenar,CE01G0417,PRIME ENERGÍA QUICKSTART SPA
567,TER COMBARBALA,Termoeléctricas,PRIME ENERGÍA QUICKSTART SPA,Coquimbo,Combarbalá,CE02G0417,PRIME ENERGÍA QUICKSTART SPA
568,TER CHAGUAL,Termoeléctricas,PRIME ENERGÍA QUICKSTART SPA,Coquimbo,Los Vilos,CE03G0417,PRIME ENERGÍA QUICKSTART SPA
569,HP PALMAR,Hidroeléctricas,HIDROPALMAR SPA,Los Lagos,Puyehue,CE01G0418,HIDROENERSUR SPA
570,HP CORRENTOSO,Hidroeléctricas,HIDROPALMAR SPA,Los Lagos,Puyehue,CE02G0418,HIDROENERSUR SPA
571,PMGD PFV ALTO SOLAR,Solares,ALTOS DE LA MANGA ENERGY SPA,Metropolitana,San Pedro,CE01G0419,SONNEDIX METRO EXPANSION SPA
572,PMGD PFV ALICAHUE,Solares,PARQUE FOTOVOLTAICO ALICAHUE SOLAR SPA,Valparaíso,Cabildo,CE01G0420,PARQUE FOTOVOLTAICO ALICAHUE SOLAR SPA
573,PMGD PFV ENCON SOLAR,Solares,LOA SOLAR SPA,Valparaíso,San Felipe,CE01G0421,CARBON FREE CHILE SPA
574,PMGD PFV CINTAC,Solares,IMELSA ENERGÍA SPA,Metropolitana,Maipu,CE06G0341,IMELSA ENERGÍA SPA
575,PMGD TER LOMAS COLORADAS,Termoeléctricas,ELÉCTRICA NUEVA ENERGÍA S.A.,Biobío,Coronel,CE02G0032,ELÉCTRICA NUEVA ENERGÍA S.A.
576,PMGD PFV OLIVILLO,Solares,ÁRBOL SPA,Valparaíso,Casablanca,CE02G0842,TRALKA SPA
577,PMGD PFV PIQUERO,Solares,PIQUERO SPA,Valparaíso,Casablanca,CE01G0424,PIQUERO SPA
578,PMGD PFV VALLE SOLAR ESTE II,Solares,SINERGIA SOLAR SPA,Atacama,Copiapó,CE01G0425,CARBON FREE CHILE SPA
579,PMGD PFV VALLE SOLAR OESTE II,Solares,SOLAR BROTHERS SPA,Atacama,Copiapó,CE01G0426,CARBON FREE CHILE SPA
580,PMGD PFV EL QUEMADO,Solares,REDEN CABILDO SOLAR SPA,Valparaíso,Cabildo,CE02G0452,REDEN CABILDO SOLAR SPA
582,PMGD PFV RODEO,Solares,PV RODEO SPA,Valparaíso,Catemu,CE01G0428,TRALKA SPA
583,HP CIPRESILLOS,Hidroeléctricas,ELÉCTRICA CIPRESILLOS SPA,OHiggins,Machalí,CE01G0431,ELÉCTRICA CIPRESILLOS SPA
584,PMGD PFV EL QUEULE,Solares,EL QUEULE SPA,OHiggins,Las Cabras,CE01G0433,SONNEDIX METRO EXPANSION SPA
585,PMGD PFV LUNA,Solares,LUNA ENERGY SPA,OHiggins,Las Cabras,CE01G0435,LUNA ENERGY SPA
586,PMGD PFV MALAQUITA SOLAR II,Solares,APOLO DEL NORTE SPA,Atacama,Tierra Amarilla,CE01G0436,CARBON FREE CHILE SPA
587,PMGD TER ZAPALLAR,Termoeléctricas,GENERADORA ZAPALLAR SPA,Maule,Curicó,CE01G0437,GENERADORA ZAPALLAR SPA
588,PMGD TER MIMBRE,Termoeléctricas,GENERADORA MIMBRE SPA,OHiggins,Chimbarongo,CE01G0438,GENERADORA MIMBRE SPA
589,PMGD PFV PUNTA BAJA SOLAR,Solares,SONNEDIX PARQUE SOLAR PUNTA COLORADA SPA,Coquimbo,La Higuera,CE01G0439,SONNEDIX CHILE INVERSIONES 3 SPA
590,PMGD PFV CACHIYUYO SOLAR II,Solares,NUOVOSOL SPA,Atacama,Tierra Amarilla,CE01G0440,CARBON FREE CHILE SPA
591,PMGD TER ALMENDRADO,Termoeléctricas,CENTRAL ELÉCTRICA ALMENDRADO SPA,Los Lagos,Chonchi,CE01G0527,IMELSA ENERGÍA SPA
592,PMGD PFV LA BLANQUINA,Solares,CHUNGUNGO SOLAR SPA,OHiggins,Codegua,CE03G0600,CHUNGUNGO SOLAR SPA
593,PMGD PFV CALLE LARGA,Solares,PMGD CALLE LARGA SPA,Valparaíso,Calle Larga,CE01G0443,PMGD CALLE LARGA SPA
594,PE EL MAITEN,Eólicas,PARQUE EÓLICO EL MAITÉN SPA,Biobío,Laja,CE01G0447,PARQUE EÓLICO EL MAITÉN SPA
595,PMGD PFV MARIN,Solares,PMGD MAUCO SPA,Valparaíso,San Felipe,CE01G0448,ANTU ENERGY SPA
596,PMGD TER CHORRILLOS,Termoeléctricas,GENERADORA CHORRILLOS SPA,Metropolitana,Lampa,CE01G0449,IMELSA ENERGÍA SPA
597,PMGD PFV VITUCO 2B,Solares,VITUCO SPA,OHiggins,Marchihue,CE01G0450,CARBON FREE CHILE SPA
598,PMGD PFV ARIZTIA,Solares,FOTOVOLTAICA ARIZTÍA SPA,Valparaíso,La Ligua,CE01G0451,FOTOVOLTAICA ARIZTÍA SPA
599,PFV ALMEYDA,Solares,ALMEYDA SPA,Atacama,Chañaral,CE02G0651,ACCIONA ENERGÍA CHILE HOLDINGS S.A.
600,PMGD PFV LO SIERRA,Solares,PARQUE SOLAR H6 SPA,Metropolitana,San Pedro,CE03G0454,PARQUE SOLAR H6 SPA
601,PMGD PFV CRUCERO,Solares,CRUCERO SPA,OHiggins,Peralillo,CE04G0455,CARBON FREE CHILE SPA
602,PMGD PFV PIRQUE,Solares,SOLAR TI CUATRO SPA,Metropolitana,Pirque,CE05G0456,SOLAR TI CUATRO SPA
603,PMGD PFV POBLACION,Solares,POBLACIÓN SOLAR SPA,OHiggins,Peralillo,CE06G0457,CARBON FREE CHILE SPA
604,PMGD PFV LA LAJUELA,Solares,RIGEL SPA,OHiggins,Santa Cruz,CE07G0406,RIGEL SPA
605,PMGD PFV GR SANTA ROSA,Solares,GR CHAQUIHUE SPA,Metropolitana,San Pedro,CE08G0458,GR CHAQUIHUE SPA
606,PMGD PFV PEDREROS SOLAR,Solares,ISABEL SOLAR SPA,Valparaíso,Panquehue,CE09G0520,CARBON FREE CHILE SPA
607,PMGD PE EL ARREBOL,Eólicas,EMPRESA ELÉCTRICA EL ARREBOL SPA,Biobío,Lebu,CE10G0460,EMPRESA ELÉCTRICAS AGUAS DEL MELADO SPA
608,PMGD PFV SANTA CLARA,Solares,IMPULSO SOLAR LAS LLOYSAS SPA,Coquimbo,Ovalle,CE11G0461,IMPULSO SOLAR LAS LLOYSAS SPA
609,PMGD PFV LIPANGUE,Solares,ESPINOS S.A.,Metropolitana,Lampa,CE07G0042,ESPINOS S.A.
610,TER MAITENCILLO,Termoeléctricas,EMPRESA ELÉCTRICA VALLENAR S.A.,Atacama,Freirina,CE01G0462,EMPRESA ELÉCTRICA VALLENAR S.A.
611,PE LA FLOR,Eólicas,VIENTOS DE RENAICO SPA,Araucanía,Renaico,CE01G0463,VIENTOS DE RENAICO SPA
612,PMGD PFV ALTOS DE TILTIL,Solares,ELÉCTRICA ALTOS DE TIL TIL SPA,Metropolitana,Tiltil,CE01R0033,EVOL SPA
613,HP MOCHO,Hidroeléctricas,HIDROMOCHO S.A.,Los Ríos,Río Bueno,CE01G0465,HIDROMOCHO S.A.
614,PMGD PFV LOS PERALES,Solares,PMGD SOLAR LOS PERALES I SPA,Valparaíso,Quilpué,CE01G0468,PMGD SOLAR LOS PERALES I SPA
615,PMGD PFV SANTA ADRIANA,Solares,PARQUE FOTOVOLTAICO SANTA ADRIANA SPA,Metropolitana,Talagante,CE01G0469,PARQUE FOTOVOLTAICO SANTA ADRIANA SPA
616,PMGD PFV TRICAHUE II,Solares,TRICAHUE SOLAR SPA,OHiggins,Rengo,CE01G0470,TRICAHUE SOLAR SPA
617,PMGD PFV CASUTO,Solares,SOLAR TI DIEZ SPA,Valparaíso,Rinconada,CE01G0471,SOLAR TI DIEZ SPA
618,PMGD TER GAMI,Termoeléctricas,GENERADORA ELÉCTRICA GAMI LTDA,Los Lagos,San Pablo,CE01G0472,ENERGY PARTNERS SPA
619,PMGD PFV ROVIAN,Solares,PV ROVIAN SPA,OHiggins,Nancagua,CE01G0473,TRALKA SPA
621,PMGD PE EL NOGAL,Eólicas,PARQUE EÓLICO EL NOGAL SPA,Biobío,Mulchén,CE01G0475,PARQUE EÓLICO EL NOGAL SPA
622,PMGD TER PICOLTUE,Termoeléctricas,ESPINOS S.A.,Biobío,Mulchén,CE03G0042,ESPINOS S.A.
623,PMGD TER YUMBEL,Termoeléctricas,ESPINOS S.A.,Biobío,Yumbel,CE04G0042,ESPINOS S.A.
624,PMGD TER LOS SAUCES,Termoeléctricas,ESPINOS S.A.,Araucanía,Los Sauces,CE05G0042,ESPINOS S.A.
625,PMGD PFV NORTE CHICO,Solares,ACOTANGO DE VERANO SPA,Coquimbo,Los Vilos,CE01G0474,TRALKA SPA
626,PE TOLPAN SUR,Eólicas,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,Araucanía,Renaico,CE03G0265,ACCIONA ENERGÍA CHILE HOLDINGS S.A.
628,TER LLANOS BLANCOS,Termoeléctricas,PRIME ENERGÍA QUICKSTART SPA,Coquimbo,Coquimbo,CE04G0417,PRIME ENERGÍA QUICKSTART SPA
629,PMGD PFV RANGUIL,Solares,RANGUIL SUR SPA,OHiggins,Lolol,CE01G0528,CARBON FREE CHILE SPA
630,PMGD PFV CHALINGA SOLAR,Solares,SONNEDIX JOAQUÍN SOLAR SPA,Coquimbo,Salamanca,CE01G0529,SONNEDIX CHILE INVERSIONES 3 SPA
631,PMGD PFV CRUZ SOLAR,Solares,PMGD CRUZ SPA,Valparaíso,Panquehue,CE01G0530,TRALKA SPA
632,PMGD PFV ILLAPEL 5X,Solares,SONNEDIX PARSOSY ILLAPEL 5 SPA,Coquimbo,Illapel,CE01G0531,SONNEDIX CHILE INVERSIONES 3 SPA
633,PMGD PFV LAS CODORNICES,Solares,SONNEDIX LAS CODORNICES SPA,Ñuble,San Carlos,CE01G0532,SONNEDIX CHILE INVERSIONES 3 SPA
635,PMGD PFV EL CONDOR,Solares,PFV EL CÓNDOR SPA,Maule,Teno,CE01G0534,PFV EL CÓNDOR SPA
636,PE CABO LEONES III,Eólicas,PE CABO LEONES III SPA,Atacama,Freirina,CE01G0535,PE CABO LEONES III SPA
637,PMGD PFV TALCA,Solares,SANTA CATALINA SOLAR SPA,Maule,Talca,CE01G0536,SANTA CATALINA SOLAR SPA
638,PMGD PFV MONTT SOLAR,Solares,CANENCIA ENERGÍA SPA,Valparaíso,Petorca,CE01G0537,CARBON FREE CHILE SPA
639,PFV GRANJA SOLAR,Solares,COPEC RENOVABLES SPA,Tarapacá,Pozo Almonte,CE01G0884,COPEC RENOVABLES SPA
640,PMGD PFV RLA SOLAR,Solares,RLA SOLAR SPA,Metropolitana,San Pedro,CE01G0538,RLA SOLAR SPA
641,PMGD PFV CANESA SOLAR,Solares,SONNEDIX ÁNGELA SOLAR SPA,Coquimbo,Illapel,CE01G0539,SONNEDIX CHILE INVERSIONES 3 SPA
642,PMGD PFV LAS PERDICES,Solares,SONNEDIX LAS PERDICES SPA,Maule,Talca,CE01G0540,SONNEDIX CHILE INVERSIONES 3 SPA
643,PFV ANDES SOLAR II,Solares,ANDES SOLAR II SPA,Antofagasta,Antofagasta,CE14G0770,ANDES SOLAR II SPA
644,PMGD PFV MARCHIHUE VII,Solares,MARCHIHUE VII SPA,OHiggins,Marchihue,CE01G0541,CARBON FREE CHILE SPA
645,PMGD PFV DOÑIHUE,Solares,PV DOÑIHUE SPA,OHiggins,Coinco,CE01G0542,TRALKA SPA
646,PMGD PFV JAURURO SOLAR,Solares,FOTOVOLTAICA JAURURO SPA,Valparaíso,La Ligua,CE01G0543,PINGÜINO EMPERADOR SPA
647,PMGD PFV TUCUQUERE,Solares,TUCUQUERE SPA,Valparaíso,Catemu,CE01G0544,TUCUQUERE SPA
648,PMGD PFV JOSE SOLER MALLAFRE,Solares,FV SANTA LAURA SPA,Maule,Teno,CE01G0545,FV SANTA LAURA SPA
649,CSP CERRO DOMINADOR,Termoeléctricas,CERRO DOMINADOR PV S.A.,Antofagasta,María Elena,CE01G0430,CERRO DOMINADOR CSP S.A.
650,PMGD TER RIO AZUL,Termoeléctricas,GENERADORA LA CALERA SPA,Los Lagos,Puerto Montt,CE02G0413,GENERADORA LA CALERA SPA
